tweets,tweets_clean,preprocessed_text,type,type_encoded,class,class_encoded
اما ان يجعلها ملحدة اما أن تجعله مؤمن,اما ان يجعلها ملحدة اما أن تجعله مؤمن,اما ان جعل ملحد اما جعل مؤمن,neutral,0,standard,0
هل توجد طرق بسيطة لوضع كلمة مرور آمنة ,هل توجد طرق بسيطة لوضع كلمة مرور آمنة,وجد طرق سيط وضع كلم مرور آمن,neutral,0,standard,0
ما هي المشاعر المشتركة بين الإنسان وبعض الحيوانات ,ما هي المشاعر المشتركة بين الإنسان وبعض الحيوانات,مشاعر مشترك إنسان بعض حيوان,neutral,0,standard,0
شرا فعلته أو خيرا، سترده الحياة لك يوما,شرا فعلته أو خيرا، سترده الحياة لك يوما,شرا علت خيرا، ترد حيا وما,neutral,0,standard,0
فهمت عليك حيت فيه بنعطية شي حاجة واضحة ,فهمت عليك حيت فيه بنعطية شي حاجة واضحة,همت حيت نعطي شي حاج اضح,neutral,0,dialectal,1
الحكومة تؤكد تشبثها بالتوظيف الجهوي وتنفي وجود أي سنة بيضاء ,الحكومة تؤكد تشبثها بالتوظيف الجهوي وتنفي وجود أي سنة بيضاء,حكوم ؤكد شبث توظيف جهو تنف جود سنة يضاء,neutral,0,standard,0
تستطيع تسيير امورها بنفسها وبدون الحاجة لتدخل اي رئيس ,تستطيع تسيير امورها بنفسها وبدون الحاجة لتدخل اي رئيس,ستطيع سيير امور نفس بدون حاج تدخل اي رئيس,neutral,0,standard,0
تنتسناك تدير لينا سبورة و الطباشير وتعلمنا نتهجاو,تنتسناك تدير لينا سبورة و الطباشير وتعلمنا نتهجاو,نتسنا دير ينا بور طباشير تعلم تهجاو,neutral,0,dialectal,1
لم اسمع الخبر بتاتا,لم اسمع الخبر بتاتا,اسمع خبر تاتا,neutral,0,standard,0
 العمر مجرد رقم لكن الحياة للجميع ,العمر مجرد رقم لكن الحياة للجميع,عمر مجرد رقم حيا جميع,neutral,0,standard,0
في الانتظار ,في الانتظار,انتظار,neutral,0,standard,0
ماتخافش عليه عندو سبع ارواح,ماتخافش عليه عندو سبع ارواح,ماتخافش عندو ارواح,neutral,0,dialectal,1
هل يوجد تلوج بإفران حاليا ,هل يوجد تلوج بإفران حاليا,وجد لوج إفران حاليا,neutral,0,standard,0
لا اله الا الله,لا اله الا الله,اله الا الل,neutral,0,standard,0
