tokens_no_stopwords,Dialect
"['اليكم', 'جديد', 'واخيرا', 'درت', 'لهاد', 'الصفحه']",1
"['الله', 'يخلف', 'سيدي', 'محمد']",1
"['هجومك', 'اخي', 'علي', 'حسن', 'طارق', 'تبرهيش', 'قله', 'عقل', 'ودليل', 'انعدام', 'غرام', 'ديال', 'المنطق']",1
"['امين', 'عام', 'حزب', 'سياسي', 'كينشر', 'تدوينه', 'وكيدير', 'ليها']",1
"['اجي', 'فين', 'غبرات', 'الحمي', 'القلاعيه', 'شفت', 'بقات', 'هضره', 'عليها']",1
"['انفلوانزا', 'الخنازير', 'مسؤول', 'عليها', 'وزير', 'الصحه', 'والحكومه', 'والدوله', 'ياك', 'والحمي', 'القلاعيه', 'واش', 'نقدرو', 'نقولو', 'ان', 'اللي', 'مسؤول', 'عليها']",1
"['انفلوانزا', 'الخنازير', 'تهدد', 'الانسان', 'والحمي', 'القلاعيه', 'تهدد', 'رؤوس', 'الماشيه', 'بدكاله', 'والشاويه', 'الله', 'يرحمنا', 'ويعطينا', 'دوله', 'تخاف', 'علينا']",1
"['السؤال', 'تديروهاش', 'مني', 'قله', 'الصواب', 'واش', 'بنكيران', 'اللي', 'زاد', 'ضريبه', 'السيارات']",1
"['شكرا', 'يوسف', 'سفري', 'بوعميره', 'وبنحليب', 'ديما', 'راجا']",1
"['الدوله', 'اللي', 'تعاقدات', 'رحال', 'باش', 'توكل', 'السجناء', 'واش', 'تقدرش', 'تتعاقد', 'الشيخ', 'زايد', 'باش', 'تداويهم']",1
"['بمناسبه', 'تغير', 'المغرب', 'الي', 'الاحسن', 'ام', 'الاسوا', 'رايي', 'انه', 'جاب', 'دوره', 'علي', 'راسو', 'ورجع', 'لبلاصتو', 'ديال']",1
"['جاء', 'اضراب', 'الحوانت', 'الرباط', 'وسلا', 'وجاب', 'معاه', 'الشتاء', 'سلام', 'الرواح', 'غادي', 'يمشي']",1
"['الله', 'يخلي', 'لنيا', 'العونيات']",1
"['حدراف', 'لاعب', 'كبير', 'وغادي', 'يبقي', 'كبير', 'وبلاصتو', 'كاينه', 'الرجاء', 'وفي', 'المنتخب', 'دار', 'خطا', 'اه', 'ولكنه', 'لاعب', 'اكثر', 'رايع']",1
"['مبروك', 'للوداد', 'والوداديين', 'ديما', 'راجا']",1
"['جميل', 'جدا', 'السي', 'يونس']",1
"['شدوه', 'الحبس', 'يتربي', 'تعلم', 'فنون', 'الحرب', 'وقتل', 'فيديو', 'كليب', 'شافو', 'نص', 'مليون', 'انسان', 'ساعات', 'واربي', 'هانت', 'تشوف', 'زهرنا', 'كيداير']",1
"['التعليق', 'ديال', 'العثماني', 'زايدو', 'الشاب', 'ماشي', 'اصلي', 'جا', 'معاه']",1
"['المغرب', 'المدرب', 'الفرنسي', 'رونار', 'افضل', 'البرازيل', 'الكره', 'واي', 'لقاء', 'بيناتهم', 'غادي', 'نربحو', 'البرازيل', 'بواحد', 'لصفر']",1
"['شي', 'نقابيين', 'يتحملو', 'المسؤوليه', 'ويروينا', 'حنه', 'يديهم', 'بداو', 'يتهموا', 'التلاميذ', 'بالانخراط', 'مؤامره', 'كونيه', 'ضد', 'عيش', 'وماتحضيش']",1
"['حنا', 'فاش', 'كنا', 'تلاميذ', 'كنا', 'كنديرو', 'احتجاجات', 'بعقلها', 'وكنا', 'عارفين', 'معي', 'التظاهر', 'وعارفين', 'اشنو', 'الرسايل', 'اللي', 'بغينا', 'نوصلو', 'هاد', 'الدراري', 'ديال', 'دابا', 'زايغين', 'وصافي', 'وماعندهمش', 'الوعي', 'اللازم', 'لخوض', 'معركه', 'نضاليه']",1
"['عاجل', 'اضطراب', 'حركه', 'الترامواي', 'الرباط', 'وسلا', 'بسبب', 'مسيرات', 'التلاميذ']",1
"['علاش', 'جمهور', 'الوداد', 'كاعي', 'علي', 'تهراس', 'الكراسي', 'طنجه', 'وساكت', 'علي', 'تهراس', 'الكراسي', 'فاس']",1
"['هادو', 'كيبينو', 'انهم', 'ماشي', 'كيشجعو', 'فرقه', 'دالكوره', 'هادو', 'ناس', 'يترفع', 'ليهم', 'الشابو']",1
"['الشعب', 'مقهور', 'والتعليم', 'اللور']",1
"['دانون', 'سونطرال', 'بدات', 'تواصلها', 'المغاربه', 'بنعتهم', 'الخونه', 'وانهته', 'بنقص', 'دريال', 'والنشطاء', 'يشيدون', 'بحكمه', 'الشركه']",1
"['خويا', 'سجلت', 'ملاحظه', 'بروح', 'رياضيه', 'وصافي']",1
"['كانوا', 'الناس', 'باغيين', 'روسيا', 'تتاهل', 'مابقات', 'كوره']",1
"['حمدو', 'الله', 'وشكروه', 'الوقفه', 'كانت', 'الليل', 'اما', 'كون', 'الداودي', 'فطر', 'المغاربه', 'فطر', 'المغاربه', 'العصر']",1
"['مصاصو', 'الدماء', 'انا', 'الاسبوع', 'الفايت', 'ديت', 'لمرا', 'لطبيبه', 'خمسه', 'دقايق', 'المنكر', 'بعينه']",1
"['انا', 'الشيء', 'اصبحت', 'اليوم', 'تعمل', 'عندي', 'اي', 'قناه', 'سبورت', 'مفتوحه', 'اخباريه', 'مسحت', 'شيء', 'ودخلت', 'تردد', 'جديد', 'ودخلت']",1
"['شوف', 'ليك', 'وحده', 'ودير', 'حتي', 'نتا', 'شي', 'دويره', 'فباريس']",1
"['هالعار', 'اسعاده', 'رييس', 'الي', 'ماهضر', 'معه', 'افتحنا', 'الحدود', 'شي', 'يومين']",1
"['وقفت', 'اليوم', 'سطوب', 'المغرب', 'وقالي', 'بوليسي', 'شعل', 'الضو', 'قلت', 'ليه', 'قالي', 'علاش', 'قلت', 'العثماني', 'قاليك', 'حفضو', 'علي', 'الطاقه', 'رد', 'عليا', 'بوليسي', 'قالي', 'العثماني', 'حمق']",1
"['اجدادنا', 'حررو', 'الصحراء', 'الاستعمار', 'واشباه', 'الرجال', 'والمغنيين', 'بغاو', 'احرروها', 'بالشطيح', 'والاغاني']",1
"['قالك', 'دابا', 'طلقو', 'شي', 'فضاء', 'كيراقب', 'تحركات', 'البوليساريو', 'الداخل', 'والخارج']",1
"['الشمايت', 'الحكومه']",1
"['طنجه', 'لاتولد', 'العياشه', 'ابناء', 'طنجه', 'احرار']",1
"['والله', 'انتم', 'عالم', 'تضحكون', 'علي', 'انفسكم']",1
"['بقيتي', 'فيا', 'السي', 'جمال', 'علي', 'نتايج', 'الملكي']",1
"['ناقصكم', 'يتيم']",1
"['المغاربه', 'يريدون', 'فتح', 'تحقيق', 'الحادثه', 'ومحاسبه', 'المتورطين']",1
"['ساعه', 'لله']",1
"['المخزن', 'والتراكتور', 'وجهان', 'لعمله', 'واحده']",1
"['شكون', 'غايخدم', 'معكم', 'المراسلين', 'المغرب', 'حيت', 'كلشي', 'غايشدوه', 'لتجنيد', 'الاخباري', 'عفوا', 'الاجباري']",1
"['اودي', 'راه', 'كنشجع', 'مدريد']",1
"['الله', 'ارحمو', 'ووسع']",1
"['سيوران', 'راه', 'مريض', 'شويه', 'اصلا', 'يفوز', 'بجوايز', 'كبيره', 'الادب', 'وفي', 'الفلسفه', 'يذهب', 'لتسلمها']",1
"['الله', 'اعطيك', 'الصحه', 'اخويا', 'زهير']",1
"['حتي', 'زوينين']",1
"['عجيب', 'هدش']",1
"['ومفهمتهاش', 'واش', 'مبقيناش', 'دول', 'عدم', 'الانحياز']",1
"['شكرا', 'لهله', 'اخطيك']",1
"['المشكله', 'كاس', 'اسيا', 'وقالك', 'حتي', 'ممنقولش', 'مجانا', 'عشنا', 'وشفنا', 'الهند', 'ضد', 'قرغيزسستان', 'حصريا']",1
"['راه', 'تاخرنا', 'حتي', 'جمع', 'كلشي', 'فمره', 'ورسلهم']",1
"['الله', 'ايجازيك', 'بالخير', 'السي', 'عادل', 'انك', 'كتقولي', 'منشكركش', 'معندي', 'مندير']",1
"['الله', 'اسخر', 'السي', 'عادل']",1
"['الله', 'احسن', 'لعوان', 'كنقدر', 'الظرفيه', 'مهم', 'راه', 'قرارك', 'صحيح']",1
"['نظري', 'بول', 'بوغبا', 'لاعب', 'جيد', 'لكنه', 'شخص', 'وقح', 'ومبرهش', 'فعقلو']",1
"['الله', 'اعطيك', 'الخير', 'اخويا', 'والله', 'ارحم', 'والدينا', 'ووالديك', 'اخويا', 'شكرا']",1
"['مرحبا', 'صديقي', 'ساتواصل', 'معك', 'الله', 'اعطيكم', 'الخير']",1
"['وعمرك', 'تقدم', 'تهديد', 'منين', 'تكون', 'غضبان', 'ومقلق']",1
"['اودي', 'متديش', 'فبالك', 'انا', 'ايضا', 'استفد', 'الحركه', 'السنه', 'الماضيه', 'السنه', 'مده', 'سيزول', 'الغضب', 'الانسان', 'كاين', 'يتعود']",1
"['الصفر', 'اشجعهم', 'كمغاربه']",1
"['اكيد', 'غادي', 'توصل']",1
"['متفقدش', 'الامل', 'صديقي', 'راه', 'المستقبل', 'افضل', 'اكيد']",1
"['السي', 'انس', 'نريد', 'تجاوزه', 'ان', 'نكون', 'مغاربه', 'فقط', 'ان', 'نعترف', 'باختلافنا', 'وان', 'يحترم', 'منا', 'خصوصيه', 'الاخر', 'وان', 'يحل', 'الوطن', 'محل', 'العرق', 'او', 'او', 'الامازيغي', 'علي', 'راسنا', 'والعربي', 'علي', 'راسنا', 'اطار', 'اننا', 'نشكل', 'شعب']",1
"['متقولش', 'هكاك', 'والله', 'كرمك', 'صديقي', 'وانت', 'قمت', 'باكثر', 'الواجب', 'والله', 'اكثر', 'امثالك', 'الله', 'يعطيك', 'الخير']",1
"['كون', 'اكيد', 'انهم', 'فرحانين', 'وقابلين', 'علي', 'حتي', 'النص', 'فهدش', 'الربع', 'ديالو', 'وشكرا', 'وعبرك', 'الشكر', 'لكاع', 'ولاد', 'الشعب', 'اللي', 'كيفكرو', 'فولاد', 'الشعب']",1
